Audio Resource	Text Resource	Print Arguments	Length	Text (transcribed from audio)			
412	(rm029)		35	Oh, oh! That last step was a doozy!			
413	29 5		82	An icy, treacherous path skirts the snowy mountainside as it winds its way upward.			
414	29 6		84	Sheer, vertical cliffs plummet dizzyingly downward from the edge of the frozen path.			
415	29 2		76	Graham dons his warm cloak for protection against the freezing mountain air.			
416	29 3		30	Graham needs warmth, not this!			
417	30 0		160	Graham begins to shiver violently at the extreme cold of these upper reaches while his hands and face begin to numb. He can barely muster the strength to go on.			
418	30 1		99	Graham notices his stomach beginning to rumble with hunger from the exertion of the mountain climb.			
419	(rm030)		52	Well Graham, how does it feel to be a "Pop"...sicle?			
420			0				
421	30 6		142	A frozen waterfall hinders Graham's progress as in the warmer seasons it had washed away part of the path on which he is currently travelling.			
422	30 7		80	Looking upwards, Graham can see a snowy ledge above the steep cliff next to him.			
423	30 9		82	Graham sees another possible route through the mountains from the ledge above him.			
424	30 10		29	If only he could reach it...!			
425	30 11		86	Graham notices a rock overhang near an upper ledge. A rope hangs precariously from it.			
426	30 12		51	Graham notices a rock overhang near an upper ledge.			
427	30 14		119	The remains of an old tree poke out of the mountainside near an upper ledge. Graham's rope dangles dangerously from it.			
428	30 15		76	The remains of an old tree poke out of the mountainside near an upper ledge.			
429	30 17		54	Graham's rope hangs dangerously from a rocky overhang.			
430	30 18		60	The rope dangles precariously from a protruding tree branch.			
431	30 8		65	The icy cliff is much too steep for Graham to climb without help.			
432	30 13		53	Hmmm. The rocky overhang catches Graham's interest...			
433	30 16		42	Well, the tree branch looks interesting...			
434	(rm030)		30	Whoops! That was a fatal step!			
435	31 3		167	As with the path below, the now-frozen waterfall has also washed away parts of this upper trail which narrowly skirts the mountain edge and then heads off to the east.			
436	31 4		79	Graham can see tempting rock outcroppings protruding from the frozen waterfall.			
437	31 5		83	An old log has fallen precariously across a washed-out portion of the narrow trail.			
438	31 6		67	Graham's rope dangles down from a rocky overhang to the path below.			
439	32 4		70	The snowy path abruptly ends where a gradual slope continues eastward.			
440	32 5		73	The shape of one particular mountaintop seems vaguely familiar to Graham.			
441	32 6		158	Graham can see a breathtaking view of distant snow-covered mountains towering majestically above a beautiful valley with a ribbon of river slicing through it.			
442	32 1		44	It won't help Graham cross the icy crevasse.			
443	(rm032)		69	Well Graham, remember when you turned down that last meal at home...?			
444	32 0		59	Graham's hunger grows acute. Without food, he may soon die.			
445	33 2		85	A snowy path zigzags its way across the top of a narrow ridge toward a deep crevasse.			
446	33 3		56	From here, the path widens and continues on to the east.			
447	33 4		141	A deep crevasse splits the snowy mountain ridge in two while a thin strip of ice crosses it. Unfortunately, it looks too wide to jump across.			
448	33 8		66	In the distance, snowy mountains loom above a lovely river valley.			
449	33 9		84	Graham's sled lies in several broken pieces on the eastern side of the icy crevasse.			
450	33 5		86	Graham thinks about attempting to jump across the crevasse, but wisely chooses not to.			
451	33 10		42	The broken sled is now no good to anybody.			
452	33 6		71	Perhaps with some momentum Graham could use this to cross the crevasse.			
453	33 7		40	It won't help Graham cross the crevasse.			
454	34 9		79	A snowy path leads from the mountain ridge to a mysterious, ice-covered castle.			
455	34 10		77	A castle, buried in snow and ice, perches precariously atop a steep pinnacle.			
456	34 11		120	A shivering eagle perches weakly upon a small rock. Despite his own problems, Graham's heart goes out to the poor thing.			
457	34 12		84	The poor eagle gives Graham a pitiful look. Graham would like to help him...but how?			
458	34 13		31	That won't help the poor eagle.			
459	34 14		72	The eagle appears to be too weak to indulge in any further conversation.			
460	35 8		71	The wolf waits anxiously for Graham, having observed the yeti's demise.			
461	35 12		53	Off in the distance, Graham can see the crystal cave.			
462	35 13		117	Off in the distance, a large cave can be seen. Graham can only assume it to be the Ice Queen's precious crystal cave.			
463	35 14		89	A dangerous, snowy path skirts the edge of a vertical mountainside toward a distant cave.			
464	35 9		115	As the huge wolf keeps a sharp eye on Graham there is little he can do to escape his unfair and dangerous sentence.			
465	35 10		106	Graham, knowing better than to rile the large grey wolf further, now wisely keeps his thoughts to himself.			
466	35 7		114	Graham's duties done, the large grey wolf now sits in silence blocking the passage back to the Ice Queen's palace.			
467	35 11		47	That will do nothing to change the wolf's mind.			
468	35 2		178	The savage grey wolf stubbornly blocks Graham's passage back to the Ice Queen's palace. Graham's only option is to go toward a distant cave...where the dreaded yeti can be found!			
469	35 3		87	The savage grey wolf stubbornly blocks Graham's passage back to the Ice Queen's palace.			
470	(rm036)		57	What an abominable situation Graham has found himself in!			
471			0				
472	36 0		65	A snowy path runs along the front of a glittering crystal cavern.			
473	36 1		106	A narrow ledge ends abruptly at a sheer vertical cliff over which the terrible yeti stumbled to his death.			
474	36 2		116	Through the yawning entrance of the cave, Graham can see many beautiful crystals sparkling and flashing from within.			
475	36 5		22	The yeti! Run, Graham!			
476	36 6		43	Graham could never overpower the huge yeti!			
477	36 3	#dispose	10	Too late!!			
478	36 4		60	That will do nothing to help Graham fight the powerful yeti.			
479	38 2		167	Brilliant crystals flashing and sparkling, and reflecting off the numerous waterfalls, cause Graham to gaze in awe and wondermant at the dazzling spectacle before him.			
480	38 0		85	As strong as he is, even Graham can't break the stubborn crystal with his bare hands.			
481	38 3		91	One especially beautiful crystal catches Graham's notice in the center of the crystal cave.			
482	38 4		114	One particularly brilliant crystal catches Graham's attention among all the other glittering crystals in the cave.			
483	38 1	#at 40 10	172	So very gently, Graham hits the beautiful crystal several times with his hammer until it breaks loose in one piece. He then carefully places it among his other possessions.			
484	38 5		42	It won't help Graham retrieve the crystal.			
485	40 4		71	Within a deep ravine, a swift river courses its way down the mountains.			
486	40 2		61	A twisty path winds confusingly along the rocky mountainside.			
487	40 3		116	A pool of water reflects the blueness of the sky where occasionally a vision of a huge soaring bird can be observed.			
488	40 5		88	A beautiful waterfall cascades down from a vertical cliff, high above the two wanderers.			
489	40 6		94	Cedric looks cold and weary as he dutifully follows Graham across these treacherous mountains.			
490			0				
491			0				
492			0				
493			0				
494	(rm042)		53	Graham ought to know better than to feed the animals!			
495	42 3		51	There is nothing much left of the baby roc's shell.			
496	42 4		67	The huge egg is beginning to crack. This is a bad situation indeed!			
497	42 7		91	Graham can see a gittering gold locket lying among the leaves and sticks of the roc's nest.			
498	42 8		46	Oh, oh! The baby roc looks at Graham hungrily!			
499	42 11		197	Graham finds himself in a terrible situation: dropped painfully in the middle of a huge roc's nest set high on a rocky ledge with no way of climbing down. And now the baby roc eyes Graham hungrily!			
500	42 12		199	Graham finds himself in a terrible situation: dropped painfully in the middle of a huge roc's nest set high on a rocky ledge with no way of climbing down. And, even worse...the roc's egg is hatching!			
501	42 2	#at 64 146	80	Graham rescues a lovely golden locket from the leafy clutches of the roc's nest.			
502	42 5		35	Graham doesn't need a broken shell.			
503	42 6		65	Unfortunately, there is little to be done about the hatching egg.			
504	42 9		49	Graham finds himself in a very helpless position!			
505	42 10		41	That's not going to work with a baby roc!			
506	44 2		142	A narrow strand of beach skirts the bottom of the steep cliffs while the cold water of the ocean seems to cunningly steal what little is left.			
507	44 3		93	A short path, starting from a ledge up the cliffside, winds snakelike down to a narrow beach.			
508	44 4		122	Further up the beach, Graham can see a lovely waterfall cascading down the cliffs into the cold, blue waters of the ocean.			
509	44 5		86	Graham notices a rusty iron bar lying on the sand near the bottom of the winding path.			
510	44 6		42	Graham spies a small boat in the distance.			
511	45 1		61	Jagged rocks surround the waterfall at the base of the cliff.			
512	45 2		134	The narrow beach at the base of the steep, rocky cliff widens here a bit, while a chilly ocean continues to beat relentlessly upon it.			
513	45 3		96	A cascading waterfall, though very beautiful, nevertheless cuts off further travel up the coast.			
514	45 4		76	Unfortunately, the waterfall hinders Graham's progress farther up the coast.			
515	46 7		105	Graham pounds on the door, but he finds it bolted from the inside. He can, however, hear activity within.			
516	46 51		109	A makeshift house, fashioned from the bow of a wrecked ship, occupies the south end of a small, narrow beach.			
517	46 52		42	Graham hasn't been invited into the house.			
518	46 53		126	The ocean's cold water seems to lap hungrily toward the small "ship-house" built against the steep cliffs of the narrow beach.			
519	46 54		139	An old hermit, ancient and fragile-looking, inhabits the makeshift house. It appears he has lived alone on this beach for many, many years.			
520	46 56		64	A crude door has been built into the front of the unusual house.			
521	46 57		64	Graham notices a ship's bell hanging near the door of the house.			
522	46 55		42	The hermit doesn't show an interest in it.			
523			0				
524	47 0		42	Oh no! The water is too cold for swimming!			
525	(rm047)		50	Down, down goes Graham...to the bottom of the sea!			
526			0				
527	47 3		60	Uncertainly, Graham and Cedric sail in the vast, blue ocean.			
528	47 5		78	To the east, as far as the eye can see, Graham can see nothing but more ocean.			
529	47 6		62	Far in the distance, Graham can make out small, rocky islands.			
530	47 8		46	Many jagged rocks stand in the shallow waters.			
531	47 9		57	Graham and Cedric spy an interesting island to the north.			
532	47 7		47	Cedric isn't in the mood to talk at the moment.			
533	48 2		75	The boat seems to be seaworthy enough as it sails through the ocean swells.			
534	48 3		60	Graham is growing very tired from swimming in the icy water.			
535	48 4		171	Within the sheltering waters of a surrounding reef, a craggy island rises abruptly from the sea. Just inside an opening in the reef, Graham can see an inviting little bay.			
536	49 0		59	Cedric is near death. Taking him for a swim could be fatal.			
537	(rm049)		77	Hate to harp on the subject, but Graham was no match for the vicious harpies!			
538	49 5		55	The small sailboat seems to wait faithfully for Graham.			
539	49 6		73	Graham notices a large conch shell lying delicately upon the sandy beach.			
540	49 7		69	A small bay laps gently upon a coarse sand beach of the rocky island.			
541	49 8		101	Through a natural rock arch, Graham can see a sandy path leading farther in to the island's interior.			
542	50 3		74	Graham can see the sandy path wending its way upward through a rocky arch.			
543	50 4		89	From the nearby beach a sandy path continues upward to a high point of the craggy island.			
544	50 5		121	Poor Cedric. Having been seriously wounded by the vicious harpies, he now lies, moaning and in pain, upon the sandy path.			
545	50 7		36	That will do nothing to help Cedric.			
546	51 6		136	An involuntary shiver runs down Graham's spine as an overpowering sense of evil seems to hang over this island like a smothering mantle.			
547	51 7		143	A crude set of stairs has been carved into the rocky cliffs of Mordack's island. Above them, a narrow, winding trail leads on up to his castle.			
548	51 8		152	Although very cold, the waters here are calm due to a protective reef. The small beach, however, is nothing but rocks and coarse, almost gravelly, sand.			
549	51 9		96	Now what?! Graham's boat has been dashed to pieces against the jagged rocks of Mordack's island.			
550	51 11		69	A bit shaken, Cedric anxiously takes stock of their unsure situation.			
551	51 14		67	A dead fish lies on the sand beach at the foot of the rocky stairs.			
552	51 10		124	Unfortunately nothing can be done about the wrecked boat. It appears that Graham and Cedric are stuck here, perhaps forever!			
553	(rm052)		42	Too bad! It looks like the "eyes" have it!			
554	52 2		111	Two monstrous statues with burned out eyes face each other across the narrow trail leading to Mordack's castle.			
555	52 3		123	Two monstrous statues of grotesque, distorted serpents face each other across the narrow trail leading to Mordack's castle.			
556	52 4		116	The giant figures can't be climbed without risking life and limb, and since they are made of stone, can't be harmed.			
557	52 7		77	The narrow, rocky trail leads straight to the front gate of Mordack's castle.			
558	52 8		155	A bizarre castle, seeming to rise up out of the very rocks of the strange island like some sort of grotesque growth, beckons, yet repels, at the same time.			
559	52 1		27	It won't do much good here.			
560	52 6		40	That won't help with the stone serpents.			
561	52 5		32	The stone statues don't respond.			
562	53 3		140	A wide chasm separates the narrow trail from the castle's massive front gate. Graham ponders the situation but can't find a way to solve it.			
563	53 5		115	Graham notices a small stairway leading down to another trail which winds around the left side of Mordack's castle.			
564	53 6		91	The strange castle, so close now, intimidates Graham as it towers threateningly before him.			
565	53 4		146	The chasm between the trail and the front gate of the castle is too wide to jump across. Graham will have to find another way to enter the castle.			
566	54 9	#at 10 10	60	The open grate in the stone platform invites Graham's entry.			
567	54 10	#at 10 10	81	Graham notices a rusted grate embedded into a stone platform of Mordack's castle.			
568	54 14	#at 10 10	39	The iron bar holds up the rusted grate.			
569	54 15	#at 10 10	73	Graham has found a stone platform on the west side of the strange castle.			
570	54 16	#at 10 10	111	The twisted and deformed shapes of the island's rocks seem to grow up out of the very earth like strange weeds.			
571	54 8	#at 10 10	86	Graham tugs hard on the grate but soon finds it's rusted in place and can't be budged.			
572	54 12	#at 10 10	26	The grate is already open.			
573	54 13	#at 10 10	32	That won't help budge the grate.			
574	(rm055)		40	Shouldn't play around with Dink, Graham!			
575	55 4		69	A grotesque creature scurries along the stone walls of the labyrinth.			
576	55 6		93	High above him, Graham sees the hole by which he entered these confusing underground tunnels.			
577	55 8		62	Graham sees the hole through which he exited the dungeon cell.			
578	55 9		66	There is a wooden door here! Perhaps it will lead into the castle.			
579	55 13		128	A huge beast, sporting a fluffy topknot bound in a crude hairpin on top of his head, skulks in one dark corner of the labyrinth.			
580	55 17		74	Graham sees the beast's hairpin lying on the stone floor of the labyrinth.			
581	55 18		116	Graham looks around in terrified confusion as he finds himself in a labyrinth somewhere underneath Mordack's castle.			
582	55 1		78	Graham tries to open the wooden door, but to no avail as it's securely locked.			
583	55 3		66	Graham reaches down and grabs the hairpin off the labyrinth floor.			
584	55 5		56	Graham can't catch the creature... and wouldn't want to!			
585	55 7		87	The hole is much too high for Graham to ever reach. He'll have to find another way out.			
586	55 14		52	Graham should watch his step around this ugly beast!			
587	55 2		193	Graham inserts the hairpin into the door's large keyhole and discovers, to his amazement, that it fits perfectly! Turning it ever so gently, he soon hears a soft click and the door is unlocked!			
588	55 11		29	The door is already unlocked.			
589	55 12		40	That won't work with the labyrinth door.			
590	55 15		41	It makes no impression on the huge beast.			
591	56 2		90	A set of wide steps leads up from the labyrinth door to a pantry off the wizard's kitchen.			
592	56 3		61	Graham can see into the kitchen through the open pantry door.			
593	56 4		92	Graham scans the various items lining the open shelves but doesn't see anything of interest.			
594	56 7		72	A closed cupboard in the corner of the pantry catches Graham's interest.			
595	56 10		51	A bag labeled Peas sits on a shelf in the cupboard.			
596	56 11		63	Graham's eyes fall on a bag of dried peas in the open cupboard.			
597	56 0		65	Inside the cupboard, Graham's eyes fall upon a bag of dried peas.			
598	56 1		72	Reaching into the open cupboard, Graham retrieves the bag of dried peas.			
599	56 5		81	Graham examines the contents of the shelves but doesn't see anything of interest.			
600	56 8		45	There is nothing more of use in the cupboard.			
601	56 9		29	The cupboard is already open.			
602	57 13		83	A fire burns hotly in the fireplace while something in the iron pot boils above it.			
603	57 15		205	Graham surveys Mordack's kitchen in disgust. It is an untidy mishmash of dirty pots, jars with unidentified contents, rags, and assorted junk. Even with all that, Graham can see nothing that interests him.			
604	57 16		160	Princess Cassima (whom Graham now knows to have been stolen by Mordack from the Kingdom of the Green Isles), looks pleased to see him. She smiles in friendship.			
605	57 17		179	A lovely young girl with long black hair, olive skin, and flashing green eyes laboriously scrubs the cold stone floor. Though wearing rags, her beauty nevertheless shines through.			
606	57 18		188	A lovely young girl with long black hair, olive skin, and flashing green eyes cowers, frightened, in the corner of the kitchen. Though wearing rags, her beauty nevertheless shines through.			
607	57 29		65	The doorway goes into a hallway containing an unusual pipe organ.			
608	57 30		34	The doorway leads into the pantry.			
609	57 14		69	The stuff boiling in the pot doesn't look, or smell, very appetizing.			
610	57 19		112	Princess Cassima looks glad to see Graham. Perhaps she feels he can help to get her off of this horrible island.			
611	57 20		88	The young girl endlessly scrubs the hard floor. She doesn't pay any attention to Graham.			
612	57 21		77	The poor girl cowers in the corner. It doesn't appear that she trusts Graham.			
613	57 22		44	That won't help Princess Cassima in any way.			
614	57 23		98	While Princess Cassima busily scrubs the kitchen floor Graham tries to figure out what to do next.			
615	57 24		94	Since the girl seems so frightened, Graham compassionately decides to leave her alone for now.			
616	58 5		8	Not now!			
617	58 0		102	A hideous, yet fascinating pipe organ commands attention as Graham walks through a downstairs hallway.			
618	58 1		86	Two distorted figures of bird-like women flank both sides of the monstrous pipe organ.			
619	58 3		41	This doorway leads back into the kitchen.			
620	58 4		60	Graham can see into a large dining hall through the doorway.			
621	58 2		56	The bizarre figures don't appear to have any use at all.			
622	58 6		115	Graham watches in horrified fascination as the grotesque organ begins to magically play a eerie tune all by itself.			
623			0				
624			0				
625	59 3		71	Statues of strange "birdmen" line the walls of the immense dining hall.			
626	59 5		100	This appears to be the huge dining hall of the castle. Graham wonders who eats here besides Mordack.			
627	59 0		72	A massive dining table has been placed before a large, ornate fireplace.			
628	59 1		59	Graham doesn't see anything interesting with the fireplace.			
629	59 4		70	Graham carefully examines the strange statues but sees nothing of use.			
630	59 6		52	Graham isn't interested in sitting around right now.			
631	60 0		92	A huge dining table, placed before an ornate fireplace, dominates the cavernous dining hall.			
632	60 1		60	Through the doorway Graham can see a small downstairs foyer.			
633	60 2		45	This doorway leads into a downstairs hallway.			
634	60 3		86	Four curious statues representing strange "birdmen" line two walls of the dining hall.			
635	60 5		54	Graham finds himself in Mordack's immense dining hall.			
636	60 4		70	Graham carefully examines the strange statues but sees nothing of use.			
637	61 0		71	Graham gapes at an odd figure of a bird-like, yet reptilian-like woman.			
638	61 2		56	Graham can see the huge dining hall through the doorway.			
639	61 3		56	Beyond an open doorway a set of stone steps lead upward.			
640	61 4		101	Graham looks in astonishment around this strange foyer filled with an assortment of bizarre oddities.			
641	61 1		70	Curiously, Graham looks at the strange figure but sees nothing of use.			
642	62 0		84	A huge monstrosity of a skull-like figure leers at passersby of an upstairs hallway.			
643	62 2		112	Graham looks out the spiked windows and views the distorted rocks and twisted forms of Mordack's strange island.			
644	62 3		42	This doorway leads into Mordack's bedroom.			
645	62 4		61	Graham can see into Mordack's laboratory through the doorway.			
646	62 5		47	The stairway leads down to a lower-level foyer.			
647	62 1		69	Graham looks up at the leering figure but sees nothing of any of use.			
648	63 0		64	A hot fire burns fiercely in the hideous fireplace near the bed.			
649	63 1		65	Mordack's wand lies temptingly upon the small table near his bed.			
650	63 2		65	A strange statue of a winged woman stands close to Mordack's bed.			
651	63 4		64	A large, grotesque bed occupies one corner of Mordack's bedroom.			
652	63 7		43	The doorway leads into an upstairs hallway.			
653	63 8		81	Graham surveys the bizarre furnishings and horrible figures in Mordack's bedroom.			
654	63 10		104	Graham looks out the window and views the distorted rocks and twisted forms of Mordack's strange island.			
655	63 5		56	It would not be a good idea to bother Mordack right now!			
656	63 6		65	The thought of lying on that horrible bed totally revolts Graham.			
657	(rm063 / rm065)		36	Poor Graham. Mordack shows no mercy.			
658	64 0		134	Many books and scrolls line the shelves of Mordack's library. As Graham looks them over, however, he finds them mostly unintelligible.			
659	64 2		63	Graham can see into Mordack's bedroom through the open doorway.			
660	64 3		71	Many book-filled shelves line the walls of Mordack's extensive library.			
661	64 4		71	A large tome lying open upon a corner desk attracts Graham's curiosity.			
662	64 5		79	Numerous books of various scholarly subjects lie scattered atop a nearby table.			
663	64 1		109	Since most of Mordack's books and scrolls are beyond Graham's comprehension he wisely decides to ignore them.			
664	64 6		131	The strange symbols have been burned into Graham's memory; there is no need to look at them again. Perhaps they'll be of use later.			
665	64 7	#time 6	68	Hmmmm, this looks interesting. Graham wonders what the symbols mean.			
666	64 8		47	None of these particular books interest Graham.			
667	65 1		105	A spiral staircase leads up to an upper balcony where a very bizarre machine captures Graham's curiosity.			
668	65 2		64	Graham can see part of the upstairs hallway through the doorway.			
669	65 3		75	Hot coals burn in an open-pit fireplace built at one end of the laboratory.			
670	65 5		110	Tears come to Graham's eyes as he sees his beloved family and castle held captive inside a large glass bottle.			
671	65 7		128	An odd machine of tubes, gears, weights, and tiny figures surrounding an unusual sphere-like object attracts Graham's curiosity.			
672	65 9		235	Graham has found himself in a large room filled with many unusual contraptions and magical implements. His heart feels like bursting when he notices his beloved family imprisoned within a large glass bottle sitting upon a corner table.			
673	65 0		180	Looking at his frantically waving family inside their glass prison causes Graham's heart to break as he realizes his current inability to save them from their terrible predicament.			
674	65 4		65	There is nothing but burning coals inside the open-pit fireplace.			
675	65 6		43	Graham can't get a clear view from up here.			
676	65 8		48	Graham will have to go up the stairs to do that.			
677	66 1		122	Mordack's wand now barely glows; perhaps its power has weakened while Crispin's old wand now appears completely energized.			
678	66 3		69	Atop the iron platter of the bizarre contraption lies Crispin's wand.			
679	66 4		65	Upon the iron platter of the strange machine lies Mordack's wand.			
680	66 6		84	Behind Mordack's strange machine lurk other baffling and curious magical implements.			
681	66 8		246	The strange device has returned to its original placid state, though Graham remains awestruck by the incredible display of power he has just witnessed. Mordack obviously is a wizard with extraordinary talents to have harnessed such amazing power.			
682	66 9		242	Graham has no idea what Mordack does with this strange contraption, but it couldn't be good! Inside the lower portion a foul-smelling liquid bubbles while two dangling spiked gizmos hang on a massive yoke above a couple of flat iron platters.			
683	66 5		80	Mordack's wand now looks dim and powerless. Graham has no desire for it anymore.			
684	66 7		46	Mordack's other gadgets don't interest Graham.			
685	66 10		141	The bizarre machine looks very intimidating and confusing which makes Graham reluctant to touch it; conversely though, it also intrigues him.			
686	66 0		66	Graham tosses the moldy cheese into the machine's bubbling liquid.			
687	66 2		71	The machine put on quite a show but didn't seem to accomplish anything!			
688	66 11		52	Graham hesitates. This may be the wrong thing to do.			
689	67 22		152	After observing no discernible escape route from the small cell, Graham sinks to the floor in despair, knowing he will never see the light of day again.			
690	(rm067)		35	Too bad! So close, yet so far away!			
691	67 7	#at -1 10	72	Graham can see a small, moldy piece of cheese just inside the mousehole.			
692	67 12	#at 40 40	44	Green mold covers the small piece of cheese.			
693	67 15		69	A stone block rests on the ground near a large hole in the cell wall.			
694	67 16		69	It looks like someone recently replaced and mortared the loose stone.			
695	67 19		63	Graham can see a tiny mousehole in one wall of the dreary cell.			
696	67 21		58	A fallen stone has revealed a large hole in the cell wall.			
697	67 23		75	Above him, Graham can see a damp, rusty grate leading to...who knows where?			
698	67 8	#at 40 40	83	Graham finds that his hand is too large to reach very far into the small mousehole.			
699	67 9	#at 40 40	81	Graham can't reach into the mousehole far enough to retrieve the piece of cheese.			
700	67 10	#at 40 40	114	Graham can ALMOST reach the piece of cheese inside the mousehole...but finds his hand too large to reach very far.			
701	67 17		47	The stone is much too heavy for Graham to lift.			
702	67 18		34	The stone can't be budged anymore.			
703	67 20		55	There is nothing more of interest inside the mousehole.			
704	67 24		65	The grate is too high up. There is nothing Graham can do with it.			
705	67 11	#at 40 40	95	There! Got it! The fishhook did the trick in retrieving the piece of cheese from the mousehole.			
706	67 13		23	That won't do any good.			
707	67 14		37	That implement won't quite work here.			
708	81 1		55	A small hole burrows in at the base of an immense tree.			
709	81 2		91	Graham has entered a secluded clearing in a quieter, more pleasant area of the dark forest.			
710	82 0		131	A narrow tunnel has been dug down into the ground. Weak sunlight brightens one end while a dim, eerie light beckons from the other.			
711	83 3		77	A tall wooden ladder reaches up toward the entrance of an underground tunnel.			
712	83 4		54	A lower opening leads into another underground tunnel.			
713	83 5		58	The little shoemaker elf has left and is nowhere in sight.			
714	83 7		100	Disappointingly, a deep chasm slices through the underground cavern cutting off further exploration.			
715	83 8		90	Graham can see no sign of the little elves previously working in the cavern's far reaches.			
716	83 10		105	The huge underground cavern seems to be a work area for a community of elves who have since abandoned it.			
717	83 6		86	The elf has gone and taken everything with him. There's nothing left of interest here.			
718	83 9		58	The elves have left and taken everything of use with them.			
719	(rm085)		30	That wasn't a very smart move!			
720	85 7		170	Graham notices three rough-looking men huddle over the bar in a serious conversation. Since they're talking in such low tones Graham can't quite hear what they're saying.			
721	85 9		48	A flea-bitten old dog lies asleep in the corner.			
722	85 12		70	Through an open doorway, Graham can see part of the inn's dining room.			
723	85 14		95	The country inn's tavern looks a bit shabby and run-down. At the bar, Graham notices three men.			
724	85 8		79	The three men haven't noticed Graham yet. Perhaps if he got a little closer....			
725	85 10		38	The dog is just out of Graham's reach.			
726	85 13		47	The inn's dining room is just a few steps away.			
727	85 11		44	Graham has nothing to say to a sleeping dog.			
728	85 15		67	Playing the harp has attracted the attention of the men at the bar.			
729	86 4		65	A small set of rickety, wooden stairs lead up to the cellar door.			
730	86 5		60	In one corner of the cellar, Graham notices a large rathole.			
731	86 7		87	Graham has unfortunately found himself locked in the country inn's dusty, dirty cellar.			
732	86 12		84	Lying in a heap on the stone floor, Graham sees the rope that once held him captive.			
733			0				
734	86 6		52	There is nothing of interest inside the old rathole.			
735	86 8		74	A rusty padlock securing the door prevents Graham from leaving the cellar.			
736	86 1	#at 10 120 #time 8	85	Using the cobbler's hammer, Graham pounds on the rusty padlock until it breaks apart.			
737	86 9		28	The key won't fit this lock.			
738	86 10		36	The padlock has already been broken.			
739	86 11		39	That won't help Graham unlock the door.			
740	86 2	#at 20 20 #dispose	53	Struggle as he might, Graham cannot escape his bonds.			
741	(rm086)		69	Cheer up, Graham. The innkeeper will soon put you out of your misery.			
742	(rm086)		69	Cheer up, Graham. The innkeeper will soon put you out of your misery.			
743			0				
744	(rm090)		77	Hate to harp on the subject, but Graham was no match for the vicious harpies!			
745	90 19		126	Several hungry-looking harpies eye Graham greedily as he frantically looks for a route of escape. To his horror, he sees none.			
746	90 22		142	The sandy path ends at two narrow ledges overhanging the craggy island. Perched upon them, several monstrous harpies stare hungrily at Graham.			
747	90 23		71	The sandy path ends at two narrow ledges overhanging the craggy island.			
748	90 25		58	Off in the distance, Graham can see several rocky islands.			
749	90 26		70	Half-hidden in the coarse island grass Graham notices an old fishhook.			
750	90 17		67	Graham quickly bends down and rescues the fishhook from the ground.			
751	90 18		114	While keeping a sharp eye out for the harpies, Graham quickly bends down and rescues the fishhook from the ground.			
752	90 20		68	The harpies are vicious creatures whom Graham could never overpower.			
753	90 0		94	This situation seems to require very careful thought. Graham needs to spend more time on this.			
754	90 24		50	The hideous harpies don't pay any attention to it.			
755	90 21		64	The harpies aren't paying any attention to Graham at the moment.			
756	92 16		39	Queen Icebella shows no interest in it.			
757	n/a		48	Poor Graham! It's a dog-eat-dog world out there.			
758			0				
759			0				
760	(rm211)		66	Too bad! Even the sting of such a small creature can prove deadly.			
761	211 1		37	Stay away from the scorpions, Graham!			
762	211 0		27	Don't step on the scorpion!			
763	(rm212)		158	Too late! Though valiantly he struggled, Graham nevertheless collapses and dies of extreme thirst in the hot desert sun. If only he could have found an oasis!			
764	212 2		50	Looking south, the desert seems to extend forever.			
765	212 3		43	Rocky cliffs rise high above Graham's head.			
766	212 4		52	The cliff is too steep. Graham could never climb it!			
767	213 1		81	From across the desert sands, Graham can hear the sound of approaching hoofbeats.			
768	(rm213)		30	Never trust a bad guy, Graham!			
769			0				
770	213 4		108	The facade of a magnificent temple has been carved into the rocky cliffs by an unknown ancient civilization.			
771	213 5		65	The two large rocks at the cliff base attract Graham's attention.			
772	213 7		103	Sheer rock cliffs rising straight up from the desert floor form an unreachable flat plateau at the top.			
773	213 9		68	A small pool of water has formed in the space between the two rocks.			
774	213 6		61	The rocks look interesting but too large to do anything with.			
775	213 8		82	Graham contemplates an attempt to climb the rocky cliff but wisely chooses not to.			
776	213 10		39	That wouldn't be a good idea right now.			
777	213 11		48	Graham has drunk all the water he needs for now.			
778	214 5		65	Stone statues of Pegasus seem to guard the old, crumbling temple.			
779	214 7		89	Looming majestically before him, the massive temple door beckons tantalizingly to Graham.			
780	214 9		113	Carved into the rocky cliffs, an ancient temple towers above Graham as he surveys its ornate columns and friezes.			
781	214 10		60	The staff lies in several broken pieces on the temple steps.			
782	214 3		65	The temple door won't open. Perhaps there's something missing....			
783	214 6		76	Graham examines the statue carefully but doesn't see anything of importance.			
784	214 11		45	The staff is broken and is of no use anymore.			
785	214 8		37	It has no effect on the massive door.			
786			0				
787			0				
788	(rm216)		37	That wasn't a very smart move Graham!			
789	216 4		54	A large clay jar full of water stands by the campfire.			
790	(rm216)		78	The campfire, all but forgotten, has been reduced to a pile of glowing embers.			
791	(rm216)		72	The flaming campfire makes the oppressive heat of the desert even worse.			
792	216 6		99	The bandits' horses rest in the desert sun while their unsavory owners revel within the large tent.			
793	216 9		73	A lone camel waits near the large tent while its owner celebrates inside.			
794	216 12		141	Overhearing loud music and drunken laughter from within the larger tent, Graham guesses the bandits must be celebrating their latest plunder.			
